

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
059.918  001.226  000.142: require('vim.lsp.handlers')
060.057  000.135  000.135: require('vim.lsp.rpc')
060.161  000.099  000.099: require('vim.lsp.sync')
060.276  000.111  000.111: require('vim.lsp.semantic_tokens')
060.395  000.114  000.114: require('vim.lsp.buf')
060.497  000.098  000.098: require('vim.lsp.diagnostic')
060.603  000.102  000.102: require('vim.lsp.codelens')
060.671  002.144  000.259: require('vim.lsp')
060.675  002.882  000.737: require('guard.util')
060.679  004.959  001.178: require('guard.format')
060.682  006.237  001.072: require('guard.events')
060.692  006.386  000.149: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/guard.nvim/plugin/guard.lua
060.930  000.174  000.174: require('guard-collection.formatter')
061.054  000.111  000.111: require('guard')
061.982  000.862  000.862: require('guard.lint')
064.547  000.159  000.159: require('nvim-treesitter.utils')
065.515  000.929  000.929: require('nvim-treesitter.parsers')
065.955  000.092  000.092: require('nvim-treesitter.compat')
066.164  000.104  000.104: require('nvim-treesitter.ts_utils')
066.170  000.210  000.106: require('nvim-treesitter.tsrange')
066.270  000.096  000.096: require('nvim-treesitter.caching')
066.278  000.518  000.120: require('nvim-treesitter.query')
066.287  000.642  000.124: require('nvim-treesitter.configs')
066.291  000.770  000.127: require('nvim-treesitter.info')
066.406  000.113  000.113: require('nvim-treesitter.shell_command_selectors')
066.422  002.197  000.226: require('nvim-treesitter.install')
066.526  000.101  000.101: require('nvim-treesitter.statusline')
066.633  000.102  000.102: require('nvim-treesitter.query_predicates')
066.637  003.524  001.124: require('nvim-treesitter')
067.084  004.082  000.559: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
074.790  000.111  000.111: require('nvim-treesitter.highlight')
074.931  000.118  000.118: require('nvim-treesitter.indent')
075.504  000.101  000.101: require('nvim-ts-autotag._log')
075.610  000.098  000.098: require('nvim-ts-autotag.utils')
075.618  000.332  000.133: require('nvim-ts-autotag.internal')
075.622  000.536  000.204: require('nvim-ts-autotag')
075.649  000.585  000.049: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
076.852  000.050  000.050: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
